"Project_name","Tromso_herbarium_code","BOLD_code","Species","Family","NCBI_TaxonID","NCBI_corrected_TaxonID","NCBI_TaxonID_note","Collection_date","Collection_month","Sample_collector","Sampling_location","Sampling_latitude","Sampling_longitude","Sample_age_when_extracted","Weight_of_extracted_material","Extraction_concentration_(ng/uL)","library","read_count","Chloroplast_length","Chloroplast_contigs","Chloroplast_coverage","nrDNA_length","nrDNA_contigs","nrDNA_coverage","CORRECTION","CORRECTION_COMMENT"
"batch01","TROM_V_200517","PNOR1223-17","Salix arctica","Salicaceae",395313,395313,,2004-07-29,"July","Westergaard, Kristine","Greenland, Dundas Bay.",76.5603,-68.7827,14,0.0291,26.2,"BXA:CEF",7941176,155546,1,88.1,"NA","NA","NA",0,
"batch01","TROM_V_89524","PNOR1540-18","Luzula arcuata","Juncaceae",223686,223686,,2004-07-31,"July","Bjerke, Jarle W.","Norway, Goneldatvarri.",69.6645,21.7697,14,0.0106,10.9,"CDM:AQV",5228988,"NA","NA","NA",8040,1,404.8,0,
"batch01","TROM_V_200548","PNOR470-16","Dryopteris fragrans","Dryopteridaceae",239565,239565,,2004-08-07,"August","Westergaard, Kristine","Greenland, Qeqertat.",77.4957,-66.6927,13,0.02,95.6,"BXA:AST",9507886,129508,17,27.9,7645,1,272.2,0,
"batch01","TROM_V_200576","PNOR1225-17","Taraxacum phymatocarpum","Asteraceae",669852,669852,,2004-08-07,"August","Westergaard, Kristine","Greenland, Qeqertat.",77.4957,-66.6927,13,0.0156,18.9,"BXA:CCP",9112304,151242,1,253.4,7814,1,456.1,0,
"batch01","TROM_V_960727","PNOR007-16","Papaver lapponicum","Papaveraceae",669753,669753,,2004-08-24,"August","Alm, Torbjorn","Norway, Alta, Finnmark, Alta: Talvik, Vassbotndalen, Dalbmejohka, ved brua.",70.0051,22.9033,14,0.0244,16,"BXA:BBC",11217712,153784,1,128.8,"NA","NA","NA",0,
"batch01","TROM_V_960825","NNOR1913-16","Botrychium boreale","Ophioglossaceae",401572,401572,,2004-08-24,"August","Alm, Torbjorn; Arnesen, Geir","Norway, Alta, Finnmark, Langfjorden: Sopnes, pa haugen ovenfor kirka.",70.0563,22.3623,12,0.0174,34.7,"BMB:MS",7458546,"NA","NA","NA",7235,2,16,0,
"batch01","TROM_V_960749","PNOR557-16","Euphrasia salisburgensis","Orobanchaceae",475020,475020,,2004-08-25,"August","Alm, Torbjorn; Arnesen, Geir","Norway, Alta, Finnmark, Kafjord: Stromsneset, i lifoten under Sahkkobatni, naer nesrota i sorost.",69.9371,23.0607,14,0.0223,7.14,"BXA:CAB",8672968,144847,1,446.1,"NA","NA","NA",0,
"batch01","TROM_V_960712","PNOR066-16","Stellaria crassipes","Caryophyllaceae",645214,645214,,2004-08-25,"August","Alm, Torbjorn; Arnesen, Geir","Norway, Alta, Finnmark, Talvik, Vassbotndalen, sorvest av Nonskaret.",69.9577,22.8733,13,0.0258,78.8,"BXA:BEV",8238848,148756,1,188.4,6766,1,37.6,0,
"batch01","TROM_V_960761","NNOR2001-16","Gentianella campestris","Gentianaceae",49940,49940,,2004-08-25,"August","Alm, Torbjorn; Arnesen, Geir","Norway, Alta, Finnmark, Kafjord/Kvenvik: Sahkkobatni, pa ostsiden ovenfor Kvenvik.",69.9339,23.0799,12,0.0208,10.2,"BMB:GP",8771260,"NA","NA","NA",7146,1,589.2,0,
"batch01","TROM_V_960784","NNOR1867-15","Picea abies subsp. obovata","Pinaceae",331118,331118,,2004-08-28,"August","Alm, Torbjorn; Arnesen, Geir","Norway, Sor-Varanger, Finnmark, Sor-Varanger: Pasvikdalen, Svanvik, ved Mellesmo.",69.454,30.0591,12,0.0216,105.3,"BMB:AM",11731702,119494,34,12.5,8260,1,25.4,0,
